filter_order,best_val_accuracy,best_val_f1
1,0.9989,0.9989
5,0.3651,0.3636
10,0.2858,0.2837
15,0.2632,0.2616
20,0.2541,0.2526
25,0.2455,0.2435
30,0.2425,0.2405
