filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.2838,0.2820
10,0.2363,0.2350
15,0.2229,0.2212
20,0.2262,0.2239
25,0.2162,0.2143
30,0.2199,0.2179
