filter_order,best_val_accuracy,best_val_f1
1,0.9989,0.9989
5,0.2337,0.2318
10,0.1537,0.1504
15,0.1276,0.1224
20,0.1189,0.1142
25,0.1098,0.1047
30,0.1087,0.1036
