filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.4841,0.4825
10,0.4129,0.4112
15,0.3838,0.3820
20,0.3709,0.3688
25,0.3646,0.3620
30,0.3583,0.3559
