filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.5197,0.5183
10,0.4560,0.4544
15,0.4410,0.4396
20,0.4357,0.4341
25,0.4303,0.4282
30,0.4291,0.4273
