filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
2,0.9945,0.9944
3,0.8411,0.8408
4,0.6588,0.6580
5,0.6336,0.6321
6,0.6223,0.6209
7,0.6233,0.6218
8,0.6141,0.6129
9,0.6174,0.6163
10,0.6086,0.6072
11,0.6070,0.6056
12,0.6127,0.6111
13,0.6110,0.6094
14,0.6005,0.5992
15,0.6016,0.6000
16,0.6127,0.6111
17,0.5977,0.5963
18,0.6021,0.6008
19,0.5942,0.5924
20,0.5980,0.5968
