val_acc,val_loss
3.125000046566128731e-03,9.097622680664062500e+01
3.125000046566128731e-03,8.099967956542968750e+01
1.562500023283064365e-03,6.325524139404296875e+01
3.125000046566128731e-03,5.052514266967773438e+01
3.125000046566128731e-03,3.816295623779296875e+01
3.125000046566128731e-03,3.245011138916015625e+01
6.250000093132257462e-03,2.816392898559570312e+01
4.687500186264514923e-03,2.460917282104492188e+01
6.250000093132257462e-03,2.203681373596191406e+01
6.250000093132257462e-03,2.002583885192871094e+01
7.812500000000000000e-03,1.816490745544433594e+01
7.812500000000000000e-03,1.645445632934570312e+01
6.250000093132257462e-03,1.507532978057861328e+01
6.250000093132257462e-03,1.399572467803955078e+01
3.125000046566128731e-03,1.304349327087402344e+01
1.562500023283064365e-03,1.250574588775634766e+01
4.687500186264514923e-03,1.185998344421386719e+01
3.125000046566128731e-03,1.141071796417236328e+01
3.125000046566128731e-03,1.091208648681640625e+01
3.125000046566128731e-03,1.054457569122314453e+01
1.562500023283064365e-03,1.038248634338378906e+01
1.562500023283064365e-03,1.010710430145263672e+01
1.562500023283064365e-03,9.884900093078613281e+00
1.562500023283064365e-03,9.819079399108886719e+00
1.562500023283064365e-03,9.589159011840820312e+00
1.562500023283064365e-03,9.405604362487792969e+00
1.562500023283064365e-03,9.383868217468261719e+00
3.125000046566128731e-03,9.302778244018554688e+00
3.125000046566128731e-03,9.243662834167480469e+00
7.812500000000000000e-03,9.204576492309570312e+00
4.687500186264514923e-03,9.208668708801269531e+00
