val_acc,val_loss
4.140624776482582092e-03,6.494592666625976562e+00
3.828125074505805969e-03,5.640888690948486328e+00
3.515624906867742538e-03,5.575122833251953125e+00
4.296875093132257462e-03,5.557434082031250000e+00
3.906250000000000000e-03,5.554633617401123047e+00
3.828125074505805969e-03,5.554919242858886719e+00
6.093749776482582092e-03,5.553178787231445312e+00
1.312499959021806717e-02,4.995588302612304688e+00
1.242187470197677612e-01,3.241958379745483398e+00
5.940625071525573730e-01,1.214879035949707031e+00
9.742187261581420898e-01,1.451322287321090698e-01
9.804687500000000000e-01,1.238222345709800720e-01
9.798437356948852539e-01,1.194764301180839539e-01
9.803906083106994629e-01,1.149836033582687378e-01
9.804687500000000000e-01,1.158851161599159241e-01
9.807812571525573730e-01,1.150344163179397583e-01
9.812499880790710449e-01,1.167619600892066956e-01
9.796875119209289551e-01,1.202666386961936951e-01
9.807812571525573730e-01,1.139871478080749512e-01
9.813281297683715820e-01,1.144982874393463135e-01
9.789843559265136719e-01,1.254063695669174194e-01
9.803906083106994629e-01,1.185858324170112610e-01
9.725781083106994629e-01,1.381613612174987793e-01
9.807812571525573730e-01,1.184659376740455627e-01
9.809374809265136719e-01,1.190548539161682129e-01
9.800781011581420898e-01,1.241864711046218872e-01
9.805468916893005371e-01,1.212891414761543274e-01
9.792187213897705078e-01,1.253786534070968628e-01
9.811718463897705078e-01,1.201095134019851685e-01
9.812499880790710449e-01,1.230504214763641357e-01
9.812499880790710449e-01,1.234119907021522522e-01
9.792968630790710449e-01,1.285889893770217896e-01
9.797656536102294922e-01,1.283591240644454956e-01
9.810156226158142090e-01,1.271844059228897095e-01
9.799218773841857910e-01,1.324171870946884155e-01
9.800000190734863281e-01,1.360121220350265503e-01
9.796093702316284180e-01,1.331371217966079712e-01
9.805468916893005371e-01,1.334624886512756348e-01
9.810156226158142090e-01,1.308550983667373657e-01
9.773437380790710449e-01,1.440413892269134521e-01
