val_acc,val_loss
4.062499850988388062e-03,3.302072906494140625e+01
5.625000223517417908e-03,1.198577022552490234e+01
4.375000018626451492e-03,7.684977531433105469e+00
3.437499981373548508e-03,6.486507415771484375e+00
3.749999916180968285e-03,6.071135997772216797e+00
4.687500186264514923e-03,5.861052989959716797e+00
4.375000018626451492e-03,5.790497303009033203e+00
3.437499981373548508e-03,5.762141704559326172e+00
4.062499850988388062e-03,5.743101119995117188e+00
4.062499850988388062e-03,5.748621940612792969e+00
4.999999888241291046e-03,5.742249011993408203e+00
2.812500111758708954e-03,5.760291099548339844e+00
3.125000046566128731e-03,5.764684677124023438e+00
4.375000018626451492e-03,5.762069225311279297e+00
3.749999916180968285e-03,5.768919467926025391e+00
6.874999962747097015e-03,5.684328079223632812e+00
1.062500011175870895e-02,5.348309516906738281e+00
9.375000372529029846e-03,5.393288135528564453e+00
2.187499962747097015e-02,5.055258750915527344e+00
1.181249991059303284e-01,3.830270051956176758e+00
4.893749952316284180e-01,1.876170158386230469e+00
8.050000071525573730e-01,7.994568347930908203e-01
9.325000047683715820e-01,3.799101710319519043e-01
9.559375047683715820e-01,2.895231544971466064e-01
9.678124785423278809e-01,2.723863124847412109e-01
9.721875190734863281e-01,2.422429025173187256e-01
9.737499952316284180e-01,2.316143810749053955e-01
9.721875190734863281e-01,2.316151112318038940e-01
9.737499952316284180e-01,2.417730540037155151e-01
9.743750095367431641e-01,2.360852211713790894e-01
9.746875166893005371e-01,2.461711466312408447e-01
9.746875166893005371e-01,2.417305558919906616e-01
9.737499952316284180e-01,2.631917595863342285e-01
9.728124737739562988e-01,2.542194128036499023e-01
9.637500047683715820e-01,2.933133244514465332e-01
9.734374880790710449e-01,2.893272042274475098e-01
9.725000262260437012e-01,2.819251120090484619e-01
9.743750095367431641e-01,2.876743972301483154e-01
9.743750095367431641e-01,2.957169115543365479e-01
9.753124713897705078e-01,2.870673835277557373e-01
9.746875166893005371e-01,2.912617623805999756e-01
9.740625023841857910e-01,2.907341718673706055e-01
9.750000238418579102e-01,3.133648037910461426e-01
9.693750143051147461e-01,3.228390514850616455e-01
9.696875214576721191e-01,3.439928293228149414e-01
9.706249833106994629e-01,3.412068188190460205e-01
9.718750119209289551e-01,3.459279537200927734e-01
9.750000238418579102e-01,3.296999633312225342e-01
9.728124737739562988e-01,3.377346396446228027e-01
9.734374880790710449e-01,3.458729088306427002e-01
9.746875166893005371e-01,3.324132561683654785e-01
9.731249809265136719e-01,3.573767542839050293e-01
9.706249833106994629e-01,3.505815267562866211e-01
9.712499976158142090e-01,3.487713336944580078e-01
9.681249856948852539e-01,3.777890503406524658e-01
9.740625023841857910e-01,3.562457561492919922e-01
9.753124713897705078e-01,3.457496762275695801e-01
9.743750095367431641e-01,3.582458198070526123e-01
9.693750143051147461e-01,3.876181840896606445e-01
9.687500000000000000e-01,3.654776513576507568e-01
