epoch,accuracy,loss,val_accuracy,val_loss,val_precision,val_recall,val_f1
0,0.0042968750931322575,11.142548561096191,0.004609374795109034,10.6024169921875,0.00343133522020233,0.004522391811446938,0.0036003902856376066
1,0.006269531324505806,10.726069450378418,0.0043750000186264515,10.35053825378418,0.004102218478870596,0.004285375216566238,0.00401630607527728
2,0.008457031100988388,10.416391372680664,0.004921874962747097,10.137478828430176,0.004776972692590467,0.004755567536005789,0.0045285198443658975
3,0.009804687462747097,10.108856201171875,0.005703125149011612,9.936705589294434,0.005700511209704244,0.005629269670218172,0.005434247961761727
4,0.012910156510770321,9.832235336303711,0.005625000223517418,9.74475383758545,0.005264656068334381,0.005479036060608221,0.005142018226406054
5,0.015878906473517418,9.564857482910156,0.005937499925494194,9.56074333190918,0.00576196559627873,0.005835911102975046,0.005604396293843251
6,0.018535155802965164,9.319568634033203,0.0054687499068677425,9.384522438049316,0.004851476905720497,0.00530854194718427,0.00489875812667772
7,0.022832030430436134,9.074060440063477,0.005703125149011612,9.215841293334961,0.0048993731652524405,0.0055546171535475995,0.005060947502992118
8,0.0263671875,8.841375350952148,0.006718750111758709,9.05126667022705,0.006173508153115305,0.006593608195557223,0.006181254846208592
9,0.0322265625,8.614791870117188,0.0071875001303851604,8.891580581665039,0.006579037693758495,0.007054403932813536,0.0065269525118061365
10,0.03765625134110451,8.407059669494629,0.008437500335276127,8.73830795288086,0.008359281386502673,0.008330036495972849,0.007998283793716053
11,0.04615234211087227,8.190235137939453,0.008984374813735485,8.583791732788086,0.009285222595148121,0.008907732329721661,0.008732843113259444
12,0.05185546725988388,7.983479022979736,0.010312500409781933,8.428916931152344,0.0101661738894246,0.010131917730361584,0.009757066419138226
13,0.06230468675494194,7.77103328704834,0.01171875,8.271340370178223,0.011380231203629791,0.011528511160510575,0.011061834152666934
14,0.07314453274011612,7.559054374694824,0.014765624888241291,8.108758926391602,0.014336750493793559,0.014572856948073995,0.013900688159018463
15,0.08492187410593033,7.3469390869140625,0.016718750819563866,7.932486057281494,0.016172465428590965,0.01640802179420954,0.015537310301186536
16,0.10318359732627869,7.1155853271484375,0.021406250074505806,7.7472991943359375,0.020781802292490128,0.021030663542802384,0.02024331716530134
17,0.119140625,6.885517597198486,0.02851562574505806,7.550049304962158,0.02848164591726767,0.028022109420278093,0.02718300364739488
18,0.140625,6.647642612457275,0.03617187589406967,7.342790603637695,0.03543437761511875,0.03548307287529147,0.03394428537013247
19,0.16103515028953552,6.409700393676758,0.04546875134110451,7.1246232986450195,0.044201436274031225,0.04458657771686921,0.04248609875537815
