filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.5967,0.5954
10,0.5734,0.5722
15,0.5678,0.5667
20,0.5723,0.5709
25,0.5687,0.5674
30,0.5677,0.5664
