filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.6491,0.6484
10,0.6079,0.6070
15,0.5977,0.5962
20,0.5921,0.5908
25,0.5896,0.5883
30,0.5831,0.5820
