epoch,accuracy,loss,val_accuracy,val_loss,val_precision,val_recall,val_f1
0,0.003789062611758709,11.143824577331543,0.003046874888241291,10.596811294555664,0.0028642458718193386,0.0030266608392436212,0.0024609294572254395
1,0.0058007813058793545,10.730225563049316,0.0031250000465661287,10.350968360900879,0.0030826317854995983,0.003027235787395637,0.0028894907503779765
2,0.008105468936264515,10.423422813415527,0.004062499850988388,10.143811225891113,0.003749442896582374,0.004021005171339239,0.0037117774920192212
3,0.009257812052965164,10.127346992492676,0.004218750167638063,9.947734832763672,0.0038107593462060546,0.004112642823266321,0.003792769409815694
4,0.012851562350988388,9.838836669921875,0.0052343751303851604,9.758406639099121,0.004863549841209812,0.005104489957524829,0.004760764336067887
5,0.014179687947034836,9.581025123596191,0.004609374795109034,9.57867431640625,0.0046397325862899096,0.004518696277236375,0.004352081476387273
6,0.017734374850988388,9.326922416687012,0.005078124813735485,9.408166885375977,0.004698715515224302,0.00499227399525201,0.004660488855265426
7,0.02128906175494194,9.09904956817627,0.005156250204890966,9.246999740600586,0.00465321030393517,0.005043471747282682,0.004636542186318823
8,0.02519531175494194,8.866467475891113,0.005625000223517418,9.090394020080566,0.004771422962504995,0.005432435378448039,0.004966581050834411
9,0.029863281175494194,8.653923034667969,0.0064843748696148396,8.94034194946289,0.005892903206610256,0.006337636480790578,0.005914476187541517
10,0.03345702961087227,8.452542304992676,0.006640625186264515,8.79979419708252,0.006548552968192515,0.006473252329127151,0.006286967517492426
11,0.038398437201976776,8.250624656677246,0.006796875037252903,8.663148880004883,0.0060710553653553585,0.0065292081126373394,0.0060782914926078594
12,0.0439453125,8.069522857666016,0.005781250074505806,8.53339672088623,0.005447258960973891,0.005679989140207358,0.0053295951698815415
13,0.049531251192092896,7.880582809448242,0.0072656250558793545,8.408316612243652,0.006280360234514497,0.007145215569434256,0.006536274482264572
14,0.05705077946186066,7.705216884613037,0.007031249813735485,8.287267684936523,0.006395824428682677,0.00691783113499937,0.006440447326027074
15,0.06410156190395355,7.53159236907959,0.007109375204890966,8.16683578491211,0.00670266352603956,0.00704841564555746,0.0066909955696771405
16,0.07000000029802322,7.37614631652832,0.007890624925494194,8.051852226257324,0.0074359624794856196,0.007764721407841745,0.007317212786388397
17,0.07671874761581421,7.213949203491211,0.009062499739229679,7.936796188354492,0.008295988781885439,0.008873376045244356,0.00829644829162748
18,0.08753906190395355,7.055976390838623,0.009765625,7.825300216674805,0.009339516126128308,0.0095804536209712,0.009159760385217097
19,0.09447265416383743,6.896022319793701,0.01015624962747097,7.712730884552002,0.009268918506385625,0.00996256876153844,0.00933046938591292
20,0.10492187738418579,6.7431769371032715,0.010625000111758709,7.609742641448975,0.009836601546901812,0.010451942685774814,0.009847877465785058
