group,avg_val_accuracy,avg_val_f1
0,0.9146562576293945,0.9141737862994284
1,0.9761250019073486,0.9759886407233005
2,0.9719687700271606,0.9717884607793442
3,0.9985937356948853,0.9986060578019875
4,0.9569687366485595,0.9567543051656671
