filter_order,best_val_accuracy,best_val_f1
1,0.9784,0.9784
5,0.9265,0.9263
10,0.9357,0.9356
15,0.9337,0.9335
20,0.9352,0.9351
25,0.9363,0.9362
30,0.9353,0.9351
35,0.9362,0.9360
40,0.9361,0.9361
