filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.6246,0.6235
10,0.5764,0.5756
15,0.5670,0.5661
20,0.5552,0.5541
25,0.5519,0.5511
30,0.5448,0.5437
