filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.5813,0.5799
10,0.5370,0.5357
15,0.5287,0.5274
20,0.5277,0.5268
25,0.5222,0.5209
30,0.5205,0.5193
