filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.4219,0.4199
10,0.3515,0.3490
15,0.3364,0.3340
20,0.3327,0.3299
25,0.3291,0.3261
30,0.3284,0.3261
