filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.5668,0.5655
10,0.5126,0.5112
15,0.4843,0.4828
20,0.4726,0.4709
25,0.4657,0.4637
30,0.4577,0.4560
