filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
2,0.9953,0.9953
3,0.8469,0.8466
4,0.6612,0.6599
5,0.6345,0.6333
6,0.6200,0.6190
7,0.6249,0.6235
8,0.6128,0.6120
9,0.6137,0.6123
10,0.6068,0.6057
11,0.6105,0.6091
12,0.6090,0.6073
13,0.6114,0.6099
14,0.6020,0.6001
15,0.6001,0.5987
16,0.6142,0.6127
17,0.5966,0.5953
18,0.6009,0.5989
19,0.5935,0.5920
20,0.5989,0.5975
