filter_order,best_val_accuracy,best_val_f1
1,1.0000,1.0000
5,0.1608,0.1572
10,0.1048,0.0997
15,0.1048,0.1000
20,0.0982,0.0926
25,0.0952,0.0898
30,0.0932,0.0881
